Income_Bracket,pitax_total_clp_2019,pitax_total_clp_2020,pitax_total_clp_2021,pitax_total_clp_2022,pitax_total_clp_2023,pitax_diff_total_ref_2019_0,pitax_diff_total_ref_2020_0,pitax_diff_total_ref_2021_0,pitax_diff_total_ref_2022_0,pitax_diff_total_ref_2023_0
<0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
=0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0-5L,5517.111,5517.111,5517.111,5517.111,5517.111,0.0,-590.476,-400.23800000000006,-227.327,-360.861
5-10L,44102.273,44102.273,44102.273,44102.273,44102.273,0.0,0.0,0.0,0.0,0.0
10-15L,79095.605,79095.605,79095.605,79095.605,79095.605,0.0,0.0,0.0,0.0,0.0
15-20L,66987.133,66987.133,66987.133,66987.133,66987.133,0.0,0.0,0.0,0.0,0.0
20-30L,82543.39,82543.39,82543.39,82543.39,82543.39,0.0,0.0,0.0,0.0,0.0
30-40L,22694.52,22694.52,22694.52,22694.52,22694.52,0.0,0.0,0.0,0.0,0.0
40-50L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50-100L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
>100L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,300940.031,300940.031,300940.031,300940.031,300940.031,0.0,-590.476,-400.23900000000003,-227.326,-360.861
